2538,(place 1225),Tameside,(place 1225),Tameside,2
1638,(house 210),Bury,(place 1226),Salford,10
2566,(place 1225),Tameside,(place 1225),Tameside,2
1283,(house 628),Oldham,(place 1231),Oldham,10
1630,(place 1226),Salford,(house 186),Bury,6
2568,(place 1225),Tameside,(place 1225),Tameside,2
2691,(place 1225),Tameside,(place 1225),Tameside,2
2445,(house 538),Manchester,(place 1225),Tameside,10
2571,(place 1225),Tameside,(place 1225),Tameside,2
1391,(house 641),Oldham,(place 1231),Oldham,10
1438,(house 1154),Rochdale,(place 1230),Rochdale,10
1706,(house 123),Bury,(place 1227),Bury,10
2345,(house 225),Manchester,(place 1226),Salford,10
2688,(place 1225),Tameside,(place 1225),Tameside,2
2650,(house 804),Tameside,(place 1225),Tameside,10
1713,(house 207),Bury,(place 1227),Bury,10
2596,(place 1225),Tameside,(place 1225),Tameside,2
2532,(place 1225),Tameside,(place 1225),Tameside,2
2545,(house 783),Tameside,(place 1225),Tameside,10
1472,(house 1156),Rochdale,(place 1230),Rochdale,10
2543,(house 769),Tameside,(place 1231),Oldham,10
2536,(place 1225),Tameside,(place 1225),Tameside,2
1545,(house 1102),Rochdale,(place 1230),Rochdale,10
2569,(place 1225),Tameside,(place 1225),Tameside,2
1348,(house 631),Oldham,(place 1231),Oldham,10
2660,(house 774),Tameside,(place 1225),Tameside,10
1675,(house 172),Bury,(place 1226),Salford,10
1634,(house 161),Bury,(place 1226),Salford,10
1460,(house 1138),Rochdale,(place 1230),Rochdale,10
2620,(place 1225),Tameside,(place 1225),Tameside,2
1320,(house 628),Oldham,(place 1231),Oldham,10
2656,(place 1225),Tameside,(place 1225),Tameside,2
2526,(house 682),Tameside,(place 1225),Tameside,10
1347,(house 572),Oldham,(place 1230),Rochdale,10
2602,(place 1225),Tameside,(place 1225),Tameside,2
2620,(place 1225),Tameside,(place 1225),Tameside,2
1340,(house 598),Oldham,(place 1225),Tameside,11
1320,(place 1231),Oldham,(place 1231),Oldham,2
1445,(place 1230),Rochdale,(place 1230),Rochdale,2
1630,(house 186),Bury,(house 186),Bury,2
2696,(house 764),Tameside,(place 1225),Tameside,11
2530,(house 734),Tameside,(place 1225),Tameside,11
1604,(house 154),Bury,(place 1226),Salford,11
2700,(place 1225),Tameside,(place 1225),Tameside,2
1431,(house 1130),Rochdale,(place 1231),Oldham,11
2602,(place 1225),Tameside,(place 1225),Tameside,2
2699,(place 1225),Tameside,(place 1225),Tameside,2
2420,(house 495),Manchester,(place 1228),Manchester,11
1240,(house 667),Oldham,(place 1230),Rochdale,11
2582,(house 707),Tameside,(place 1225),Tameside,11
1645,(house 145),Bury,(place 1226),Salford,11
2253,(house 411),Manchester,(place 1228),Manchester,11
1634,(place 1226),Salford,(place 1226),Salford,2
2477,(house 294),Manchester,(place 1225),Tameside,11
1623,(house 151),Bury,(place 1227),Bury,11
1238,(house 548),Oldham,(place 1231),Oldham,11
1290,(house 546),Oldham,(place 1231),Oldham,11
1716,(house 214),Bury,(place 1226),Salford,11
2612,(house 681),Tameside,(place 1225),Tameside,11
1432,(house 1135),Rochdale,(place 1230),Rochdale,11
2643,(house 728),Tameside,(place 1231),Oldham,11
1824,(house 959),Trafford,(place 1229),Trafford,11
2304,(house 294),Manchester,(place 1225),Tameside,11
2588,(house 707),Tameside,(place 1225),Tameside,11
1680,(house 145),Bury,(place 1226),Salford,11
2560,(house 707),Tameside,(place 1225),Tameside,11
2566,(place 1225),Tameside,(place 1225),Tameside,2
2618,(house 724),Tameside,(place 1225),Tameside,11
2538,(place 1225),Tameside,(place 1225),Tameside,2
1277,(house 657),Oldham,(place 1225),Tameside,11
1706,(place 1227),Bury,(place 1227),Bury,2
2510,(house 310),Manchester,(place 1225),Tameside,11
2120,(house 824),Salford,(place 1227),Bury,11
1369,(house 546),Oldham,(place 1231),Oldham,11
2584,(place 1225),Tameside,(place 1225),Tameside,2
2611,(house 707),Tameside,(place 1225),Tameside,11
2536,(place 1225),Tameside,(place 1225),Tameside,2
1668,(place 1227),Bury,(place 1227),Bury,2
2656,(place 1225),Tameside,(place 1225),Tameside,2
2650,(place 1225),Tameside,(place 1225),Tameside,2
1349,(house 644),Oldham,(place 1231),Oldham,11
2555,(place 1225),Tameside,(place 1225),Tameside,2
1396,(house 563),Oldham,(place 1231),Oldham,11
1460,(place 1230),Rochdale,(place 1230),Rochdale,2
2590,(house 704),Tameside,(place 1225),Tameside,11
2526,(place 1225),Tameside,(place 1225),Tameside,2
2225,(house 442),Manchester,(place 1227),Bury,12
1988,(house 892),Salford,(place 1227),Bury,12
1416,(house 575),Oldham,(place 1225),Tameside,12
2181,(house 321),Manchester,(place 1227),Bury,12
1757,(house 113),Bury,(place 1226),Salford,12
2627,(place 1225),Tameside,(house 690),Tameside,7
2477,(place 1225),Tameside,(place 1225),Tameside,2
2620,(place 1225),Tameside,(place 1225),Tameside,2
2219,(house 332),Manchester,(place 1226),Salford,12
2618,(place 1225),Tameside,(place 1225),Tameside,2
2146,(house 247),Manchester,(place 1227),Bury,12
1615,(house 113),Bury,(place 1226),Salford,12
1287,(house 675),Oldham,(place 1231),Oldham,12
1333,(house 612),Oldham,(place 1230),Rochdale,12
2510,(place 1225),Tameside,(place 1225),Tameside,2
1460,(place 1230),Rochdale,(place 1230),Rochdale,2
1513,(house 1103),Rochdale,(place 1231),Oldham,12
2612,(place 1225),Tameside,(place 1225),Tameside,2
2291,(house 332),Manchester,(place 1226),Salford,12
1387,(house 575),Oldham,(place 1225),Tameside,12
2001,(house 926),Salford,(place 1227),Bury,12
2671,(house 807),Tameside,(place 1225),Tameside,12
1520,(house 1188),Rochdale,(place 1231),Oldham,12
2666,(house 722),Tameside,(place 1225),Tameside,12
1277,(place 1225),Tameside,(place 1225),Tameside,2
2526,(place 1225),Tameside,(place 1225),Tameside,2
2632,(house 742),Tameside,(place 1225),Tameside,12
2538,(place 1225),Tameside,(place 1225),Tameside,2
1724,(house 208),Bury,(place 1226),Salford,12
2361,(house 488),Manchester,(place 1225),Tameside,12
1309,(house 578),Oldham,(place 1231),Oldham,12
2588,(place 1225),Tameside,(place 1225),Tameside,2
1613,(place 1227),Bury,(house 121),Bury,7
2409,(house 482),Manchester,(place 1225),Tameside,12
1349,(place 1231),Oldham,(place 1231),Oldham,2
2576,(house 742),Tameside,(place 1225),Tameside,12
2397,(house 488),Manchester,(place 1225),Tameside,12
2684,(house 763),Tameside,(place 1225),Tameside,12
1693,(house 105),Bury,(place 1226),Salford,12
2388,(house 366),Manchester,(place 1228),Manchester,12
1449,(house 1103),Rochdale,(place 1231),Oldham,12
1533,(house 1109),Rochdale,(place 1231),Oldham,12
1583,(house 1193),Rochdale,(place 1230),Rochdale,12
1659,(house 168),Bury,(place 1226),Salford,12
